0,15,2,
5
PreSwap,Craig
17
00000000000000000101,293
00000000000000000010,764
00000000000000000111,4950
00000000000000000000,151
00000000000000000011,520
00000000000000000001,150
00000000000000000100,265
00000000000000000110,1099
PreSwap,Norm
24
00000000000000000101,479
00000000000000000010,529
00000000000000000111,4615
00000000000000000000,194
00000000000000000011,995
00000000000000000001,877
00000000000000000100,108
00000000000000000110,395
Qiskit,Craig
32
00000000000000000101,609
00000000000000000010,811
00000000000000000111,2981
00000000000000000000,473
00000000000000000011,1183
00000000000000000001,471
00000000000000000100,651
00000000000000000110,1013
Qiskit,Norm
21
00000000000000000101,385
00000000000000000010,528
00000000000000000111,4809
00000000000000000000,141
00000000000000000011,1028
00000000000000000001,737
00000000000000000100,84
00000000000000000110,480
10,14,2,
8
PreSwap,Craig
26
00000000000000000101,1003
00000000000000000010,1004
00000000000000000111,3376
00000000000000000000,514
00000000000000000011,524
00000000000000000001,333
00000000000000000100,501
00000000000000000110,937
PreSwap,Norm
30
00000000000000000101,1224
00000000000000000010,395
00000000000000000111,3232
00000000000000000000,286
00000000000000000011,1006
00000000000000000001,1403
00000000000000000100,245
00000000000000000110,401
Qiskit,Craig
38
00000000000000000101,581
00000000000000000010,745
00000000000000000111,2862
00000000000000000000,795
00000000000000000011,1054
00000000000000000001,1410
00000000000000000100,352
00000000000000000110,393
Qiskit,Norm
43
00000000000000000101,594
00000000000000000010,1037
00000000000000000111,2931
00000000000000000000,351
00000000000000000011,1284
00000000000000000001,838
00000000000000000100,292
00000000000000000110,865
1,2,18,
7
PreSwap,Craig
23
00000000000000000101,776
00000000000000000010,400
00000000000000000111,4214
00000000000000000000,378
00000000000000000011,962
00000000000000000001,557
00000000000000000100,342
00000000000000000110,563
PreSwap,Norm
33
00000000000000000101,774
00000000000000000010,792
00000000000000000111,2947
00000000000000000000,477
00000000000000000011,1012
00000000000000000001,919
00000000000000000100,389
00000000000000000110,882
Qiskit,Craig
47
00000000000000000101,1244
00000000000000000010,696
00000000000000000111,2273
00000000000000000000,730
00000000000000000011,599
00000000000000000001,617
00000000000000000100,946
00000000000000000110,1087
Qiskit,Norm
43
00000000000000000101,751
00000000000000000010,1093
00000000000000000111,2795
00000000000000000000,395
00000000000000000011,1355
00000000000000000001,793
00000000000000000100,263
00000000000000000110,747
17,4,11,
9
PreSwap,Craig
29
00000000000000000101,404
00000000000000000010,1250
00000000000000000111,2605
00000000000000000000,258
00000000000000000011,1404
00000000000000000001,345
00000000000000000100,357
00000000000000000110,1569
PreSwap,Norm
36
00000000000000000101,754
00000000000000000010,1167
00000000000000000111,2582
00000000000000000000,585
00000000000000000011,1102
00000000000000000001,989
00000000000000000100,305
00000000000000000110,708
Qiskit,Craig
32
00000000000000000101,1007
00000000000000000010,811
00000000000000000111,2156
00000000000000000000,787
00000000000000000011,1210
00000000000000000001,909
00000000000000000100,665
00000000000000000110,647
Qiskit,Norm
45
00000000000000000101,819
00000000000000000010,809
00000000000000000111,2404
00000000000000000000,398
00000000000000000011,1554
00000000000000000001,1040
00000000000000000100,389
00000000000000000110,779
10,8,3,
7
PreSwap,Craig
23
00000000000000000101,372
00000000000000000010,884
00000000000000000111,4774
00000000000000000000,186
00000000000000000011,1013
00000000000000000001,345
00000000000000000100,161
00000000000000000110,457
PreSwap,Norm
30
00000000000000000101,432
00000000000000000010,917
00000000000000000111,4467
00000000000000000000,192
00000000000000000011,1115
00000000000000000001,500
00000000000000000100,177
00000000000000000110,392
Qiskit,Craig
41
00000000000000000101,1737
00000000000000000010,431
00000000000000000111,2388
00000000000000000000,444
00000000000000000011,738
00000000000000000001,960
00000000000000000100,682
00000000000000000110,812
Qiskit,Norm
37
00000000000000000101,860
00000000000000000010,852
00000000000000000111,3560
00000000000000000000,274
00000000000000000011,1180
00000000000000000001,856
00000000000000000100,185
00000000000000000110,425
17,10,5,
4
PreSwap,Craig
14
00000000000000000101,1360
00000000000000000010,436
00000000000000000111,4389
00000000000000000000,305
00000000000000000011,620
00000000000000000001,555
00000000000000000100,219
00000000000000000110,308
PreSwap,Norm
21
00000000000000000101,361
00000000000000000010,819
00000000000000000111,3653
00000000000000000000,548
00000000000000000011,724
00000000000000000001,450
00000000000000000100,414
00000000000000000110,1223
Qiskit,Craig
32
00000000000000000101,1152
00000000000000000010,582
00000000000000000111,2436
00000000000000000000,481
00000000000000000011,1338
00000000000000000001,1321
00000000000000000100,433
00000000000000000110,449
Qiskit,Norm
21
00000000000000000101,630
00000000000000000010,376
00000000000000000111,3715
00000000000000000000,163
00000000000000000011,1698
00000000000000000001,1103
00000000000000000100,99
00000000000000000110,408
10,11,0,
3
PreSwap,Craig
11
00000000000000000101,1301
00000000000000000010,252
00000000000000000111,4417
00000000000000000000,285
00000000000000000011,379
00000000000000000001,293
00000000000000000100,488
00000000000000000110,777
PreSwap,Norm
19
00000000000000000101,398
00000000000000000010,736
00000000000000000111,3355
00000000000000000000,850
00000000000000000011,862
00000000000000000001,477
00000000000000000100,431
00000000000000000110,1083
Qiskit,Craig
11
00000000000000000101,1271
00000000000000000010,243
00000000000000000111,4486
00000000000000000000,272
00000000000000000011,418
00000000000000000001,319
00000000000000000100,457
00000000000000000110,726
Qiskit,Norm
18
00000000000000000101,1180
00000000000000000010,443
00000000000000000111,3317
00000000000000000000,650
00000000000000000011,1017
00000000000000000001,775
00000000000000000100,376
00000000000000000110,434
11,13,16,
5
PreSwap,Craig
17
00000000000000000101,320
00000000000000000010,682
00000000000000000111,4518
00000000000000000000,249
00000000000000000011,368
00000000000000000001,160
00000000000000000100,298
00000000000000000110,1597
PreSwap,Norm
21
00000000000000000101,333
00000000000000000010,654
00000000000000000111,4224
00000000000000000000,217
00000000000000000011,708
00000000000000000001,487
00000000000000000100,177
00000000000000000110,1392
Qiskit,Craig
23
00000000000000000101,586
00000000000000000010,591
00000000000000000111,3659
00000000000000000000,260
00000000000000000011,634
00000000000000000001,360
00000000000000000100,693
00000000000000000110,1409
Qiskit,Norm
43
00000000000000000101,1161
00000000000000000010,485
00000000000000000111,2589
00000000000000000000,399
00000000000000000011,1164
00000000000000000001,1667
00000000000000000100,276
00000000000000000110,451
8,11,1,
7
PreSwap,Craig
23
00000000000000000101,266
00000000000000000010,794
00000000000000000111,4338
00000000000000000000,204
00000000000000000011,1914
00000000000000000001,298
00000000000000000100,97
00000000000000000110,281
PreSwap,Norm
28
00000000000000000101,271
00000000000000000010,972
00000000000000000111,4079
00000000000000000000,179
00000000000000000011,1757
00000000000000000001,442
00000000000000000100,87
00000000000000000110,405
Qiskit,Craig
26
00000000000000000101,512
00000000000000000010,580
00000000000000000111,3037
00000000000000000000,581
00000000000000000011,1203
00000000000000000001,515
00000000000000000100,716
00000000000000000110,1048
Qiskit,Norm
30
00000000000000000101,660
00000000000000000010,589
00000000000000000111,4584
00000000000000000000,205
00000000000000000011,872
00000000000000000001,770
00000000000000000100,111
00000000000000000110,401
3,13,8,
6
PreSwap,Craig
20
00000000000000000101,614
00000000000000000010,199
00000000000000000111,4824
00000000000000000000,215
00000000000000000011,583
00000000000000000001,774
00000000000000000100,594
00000000000000000110,389
PreSwap,Norm
19
00000000000000000101,563
00000000000000000010,638
00000000000000000111,4742
00000000000000000000,184
00000000000000000011,751
00000000000000000001,846
00000000000000000100,79
00000000000000000110,389
Qiskit,Craig
23
00000000000000000101,1055
00000000000000000010,724
00000000000000000111,2054
00000000000000000000,750
00000000000000000011,1047
00000000000000000001,880
00000000000000000100,810
00000000000000000110,872
Qiskit,Norm
25
00000000000000000101,851
00000000000000000010,544
00000000000000000111,3191
00000000000000000000,254
00000000000000000011,1439
00000000000000000001,1017
00000000000000000100,224
00000000000000000110,672
5,18,19,
6
PreSwap,Craig
20
00000000000000000101,977
00000000000000000010,942
00000000000000000111,3679
00000000000000000000,446
00000000000000000011,693
00000000000000000001,495
00000000000000000100,417
00000000000000000110,543
PreSwap,Norm
22
00000000000000000101,492
00000000000000000010,957
00000000000000000111,3770
00000000000000000000,254
00000000000000000011,1149
00000000000000000001,491
00000000000000000100,172
00000000000000000110,907
Qiskit,Craig
44
00000000000000000101,1760
00000000000000000010,592
00000000000000000111,2058
00000000000000000000,583
00000000000000000011,933
00000000000000000001,953
00000000000000000100,662
00000000000000000110,651
Qiskit,Norm
40
00000000000000000101,1183
00000000000000000010,722
00000000000000000111,1667
00000000000000000000,684
00000000000000000011,1231
00000000000000000001,1285
00000000000000000100,669
00000000000000000110,751
10,3,9,
7
PreSwap,Craig
23
00000000000000000101,404
00000000000000000010,1135
00000000000000000111,4208
00000000000000000000,299
00000000000000000011,995
00000000000000000001,354
00000000000000000100,213
00000000000000000110,584
PreSwap,Norm
30
00000000000000000101,501
00000000000000000010,1176
00000000000000000111,3320
00000000000000000000,366
00000000000000000011,1045
00000000000000000001,585
00000000000000000100,228
00000000000000000110,971
Qiskit,Craig
32
00000000000000000101,1433
00000000000000000010,624
00000000000000000111,2443
00000000000000000000,516
00000000000000000011,761
00000000000000000001,756
00000000000000000100,742
